Страна;Федеральный округ;Регион;Количество школ;Количество учащихся;employees;studentsperemployee
Российская Федерация;Приволжский федеральный округ;Кировская область;507;137366;19437;7.07
Российская Федерация;Северо-Западный федеральный округ;Республика Коми;336;102133;17285;5.91
Российская Федерация;Центральный федеральный округ;Костромская область;293;70894;10284;6.89
Российская Федерация;Южный федеральный округ;Краснодарский край;1221;662196;61060;10.85
Российская Федерация;Сибирский федеральный округ;Красноярский край;981;338337;51871;6.52
Российская Федерация;Южный федеральный округ;Автономная Республика Крым;542;207070;28034;7.39
Российская Федерация;Уральский федеральный округ;Курганская область;348;99507;14851;6.7
Российская Федерация;Центральный федеральный округ;Курская область;541;114035;22831;4.99
Российская Федерация;Северо-Западный федеральный округ;Ленинградская область;376;159719;20444;7.81
Российская Федерация;Центральный федеральный округ;Липецкая область;276;119151;15693;7.59
Российская Федерация;Дальневосточный федеральный округ;Магаданская область;58;16653;2706;6.15
Российская Федерация;Приволжский федеральный округ;Марий Эл;251;76611;10175;7.53
Российская Федерация;Приволжский федеральный округ;Мордовия;297;72412;11510;6.29
Российская Федерация;Центральный федеральный округ;Москва;663;982968;153285;6.41
Российская Федерация;Центральный федеральный округ;Московская область;1400;845129;77796;10.86
Российская Федерация;Северо-Западный федеральный округ;Мурманская область;165;81318;9767;8.33
Российская Федерация;Северо-Западный федеральный округ;Ненецкий автономный округ;26;6381;1610;3.96
Российская Федерация;Приволжский федеральный округ;Нижегородская область;816;321098;37127;8.65
Российская Федерация;Северо-Западный федеральный округ;Новгородская область;166;64630;7091;9.11
Российская Федерация;Сибирский федеральный округ;Новосибирская область;968;323305;42963;7.53
Российская Федерация;Сибирский федеральный округ;Омская область;714;221005;30429;7.26
Российская Федерация;Приволжский федеральный округ;Оренбургская область;876;230159;32626;7.05
Российская Федерация;Центральный федеральный округ;Орловская область;374;75495;14004;5.39
Российская Федерация;Приволжский федеральный округ;Пензенская область;315;125117;13974;8.95
Российская Федерация;Приволжский федеральный округ;Пермский край;747;314029;37888;8.29
Российская Федерация;Дальневосточный федеральный округ;Приморский край;528;206989;21363;9.69
Российская Федерация;Северо-Западный федеральный округ;Псковская область;153;66677;9138;7.3
Российская Федерация;Южный федеральный округ;Ростовская область;1156;423796;52555;8.06
Российская Федерация;Центральный федеральный округ;Рязанская область;291;107919;16362;6.6
Российская Федерация;Приволжский федеральный округ;Самарская область;691;328512;50475;6.51
Российская Федерация;Северо-Западный федеральный округ;Санкт-Петербург;709;486073;61203;7.94
Российская Федерация;Приволжский федеральный округ;Саратовская область;907;239454;35425;6.76
Российская Федерация;Дальневосточный федеральный округ;Республика Саха (Якутия);636;145570;31409;4.63
Российская Федерация;Дальневосточный федеральный округ;Сахалинская область;161;58359;8318;7.02
Российская Федерация;Уральский федеральный округ;Свердловская область;1065;498752;57177;8.72
Российская Федерация;Южный федеральный округ;Севастополь;61;44225;4376;10.11
Российская Федерация;Северо-Кавказский федеральный округ;Северная Осетия - Алания;186;85575;10168;8.42
Российская Федерация;Центральный федеральный округ;Смоленская область;376;91992;14967;6.15
Российская Федерация;Северо-Кавказский федеральный округ;Ставропольский край;623;290493;32759;8.87
Российская Федерация;Центральный федеральный округ;Тамбовская область;108;94189;14410;6.54
Российская Федерация;Приволжский федеральный округ;Татарстан;1394;416203;60380;6.89
Российская Федерация;Центральный федеральный округ;Тверская область;491;134797;19676;6.85
Российская Федерация;Сибирский федеральный округ;Томская область;314;119283;16218;7.35
Российская Федерация;Центральный федеральный округ;Тульская область;469;137213;24013;5.71
Российская Федерация;Сибирский федеральный округ;Тыва;176;67235;12249;5.49
Российская Федерация;Уральский федеральный округ;Тюменская область;186;200541;17332;11.57
Российская Федерация;Приволжский федеральный округ;Удмуртия;582;182908;28706;6.37
Российская Федерация;Приволжский федеральный округ;Ульяновская область;411;119414;19346;6.17
Российская Федерация;Дальневосточный федеральный округ;Хабаровский край;386;145423;19832;7.33
Российская Федерация;Сибирский федеральный округ;Республика Хакасия;178;68604;9911;6.92
Российская Федерация;Уральский федеральный округ;Ханты-Мансийский автономный округ - Югра;316;215687;30351;7.11
Российская Федерация;Уральский федеральный округ;Челябинская область;825;395051;47910;8.25
Российская Федерация;Северо-Кавказский федеральный округ;Чечня;479;278605;42157;6.41
Российская Федерация;Приволжский федеральный округ;Чувашия;440;137858;17731;7.77
Российская Федерация;Дальневосточный федеральный округ;Чукотский автономный округ;41;7411;1887;3.93
Российская Федерация;Уральский федеральный округ;Ямало-Ненецкий автономный округ;129;73625;11567;6.37
Российская Федерация;Центральный федеральный округ;Ярославская область;395;131946;18052;7.31
